Category,Item,Required_By,Status,Authority,Contact,Notes,Evidence_Required,Date_Completed
Planning,Confirm title unencumbered,Before Phase 0,Unknown,Govt,Family lawyer in UK,Documentary proof held in UK,Title deed copy,
Planning,Tourism licence (4-bed rental?),Before first guest,Unknown,GTA,GTA offices,Determmine if Airbnb/Booking.com triggers requirement,Licence certificate,
Planning,Building permit (Phase 0),Before build,Unknown,Planning & Development,Gilbert's builder,What structural changes require formal permission,Permit copy,
Planning,Change of use (if applicable),Before first guest,Unknown,Planning & Development,,Residential to guest accommodation,Approval letter,
Tax,Income tax registration,Before first revenue,Unknown,Inland Revenue,,Thresholds and filing requirements,Tax ID / registration,
Tax,VAT registration,Before first revenue,Unknown,Inland Revenue,,Check if rental income is VATable,VAT certificate,
Tax,Property tax compliance,Ongoing,Unknown,Inland Revenue,,Annual property tax payments,Receipts,
Tax,Double-taxation treaty (UK-Grenada?),Before filing,Unknown,Inland Revenue / HMRC,,Is there a treaty? Rob is UK tax resident,Treaty reference,
Labour,Contracts for Alice & husband,Before renovation,Unknown,Labour office,,Fair terms; don't undermine existing informal arrangements,Signed contracts,
Labour,Worker insurance,Before renovation,Unknown,Insurance broker,,Personal accident / liability for trades on site,Policy copy,
Environment,Tree removal permits,If needed,Unknown,Ministry of Environment,,Any protected trees on the 7 acres?,Permit copy if applicable,
Environment,Waste disposal compliance,Before build,Unknown,Local authority,,Skip permits, waste removal,Approval,
Environment,Coastal zone rules,If building near shore,Unknown,Physical Planning Unit,, setbacks from high-water mark,Ruling / setback confirmation,
Health,Safety certificate for guests,Before first guest,Unknown,Public Health / GTA,,Fire safety, gas, water quality inspection,Certificate,
Insurance,Hurricane insurance up to date,Ongoing,Unknown,Broker,,Mandatory or strongly advised for any coastal property,Policy copy,
